Account_ID,Customer_Name,Age,Gender,Account_Type,Balance,Transaction_Amount,Transaction_Type,Transaction_Date,Branch,IFSC_Code,Loan_Status,Credit_Score,KYC_Status,Account_Status
A12732,John,64,Other,Current,51538,10894,Credit,2021-11-11,Pune,SBI002,Approved,756,,Closed
A12607,John,48,Female,Loan,199382,48836,Credit,2022-06-04,Chennai,AXIS004,Approved,885,,Closed
A11653,Amit,18,Other,Credit,107214,29890,Debit,2025-05-22,Delhi,ICICI003,,528,Rejected,
A13264,John,61,,Loan,75078,-6624,,2024-12-26,Chennai,SBI002,Approved,533,,Closed
A10835,Amit,25,Other,Current,96303,-7293,Credit,2023-01-02,Delhi,,,539,Rejected,
A10763,John,21,,Loan,98971,18066,,2022-10-26,Chennai,,,360,,Closed
A11731,Ravi,64,Female,Loan,79864,-9362,Credit,2022-12-30,Mumbai,HDFC001,,555,Rejected,
A13431,Amit,18,Female,Credit,100421,8293,Debit,2022-05-15,Delhi,,,313,Rejected,
A11033,Neha,49,Other,Current,184430,-739,Debit,2023-10-13,Mumbai,AXIS004,Approved,856,Pending,Dormant
A10277,,26,Other,Loan,78136,31228,Credit,2021-11-08,,ICICI003,Approved,476,Pending,Dormant
A11778,Priya,21,Female,,86886,13484,Credit,2024-03-28,Delhi,SBI002,Pending,394,Rejected,
A11828,John,29,Female,Savings,64692,-11632,Debit,2024-08-01,Pune,,,828,Verified,Closed
A12647,Priya,41,Female,Credit,128960,-6970,Credit,2021-11-21,Mumbai,ICICI003,Approved,708,Pending,Active
A13142,,38,Female,Credit,146246,43187,Credit,2022-11-08,Chennai,ICICI003,Pending,588,Verified,
A12648,Ravi,19,Female,Current,178169,26121,,2022-02-28,,AXIS004,Pending,582,Rejected,Dormant
A13468,Priya,24,,,195066,19167,Credit,2025-06-17,,ICICI003,,816,Verified,
A12362,Neha,64,Female,,35207,-8928,Credit,2021-06-18,Pune,SBI002,Approved,795,Pending,Closed
A10705,,22,,,36902,5174,Debit,2025-03-16,Chennai,HDFC001,Approved,546,Pending,
A12599,John,60,,Current,181192,19974,,2023-06-12,Pune,AXIS004,Approved,568,,Closed
A12135,John,53,Male,Current,90201,-10216,Debit,2023-12-11,,,Pending,549,Rejected,Closed
A12222,Priya,65,Other,Current,47378,-8308,,2025-10-22,Delhi,ICICI003,Approved,840,Verified,Active
A12897,Priya,40,Other,Loan,164031,11489,Debit,2023-03-22,Delhi,SBI002,Rejected,305,Pending,
A11701,Priya,48,Other,Loan,171013,-350,Debit,2023-08-05,Mumbai,,Approved,679,Pending,Dormant
A10537,Sara,56,Female,Credit,180059,16589,,2023-12-16,Bangalore,AXIS004,Pending,568,Verified,
A12893,John,29,Male,Credit,131324,14669,Credit,2024-03-23,Chennai,ICICI003,Approved,893,Rejected,Active
A12120,Neha,70,Other,Savings,37410,-4458,,2021-03-08,Chennai,SBI002,Rejected,797,Rejected,
A12825,Neha,52,Male,Savings,63266,32493,Debit,2022-12-31,Mumbai,AXIS004,Approved,617,,
A11940,Ravi,73,Male,Credit,836,46524,Credit,2024-07-23,Chennai,HDFC001,Approved,812,,Closed
